"mod.select"	"df"	"aic"	"R2"	"Function_name"	"Estimate"	"Std..Error"	"t.value"	"p.value"	"p.adj"	"significant"	"slope"
"L_Asparagine"	"mod.lm.rich"	"3"	"8.63477029201657"	0.116075992629746	"L_Asparagine"	0.00221288626590483	"0.00086693923143648"	"2.55252754248781"	"0.0145152574480218"	0.147624428180169	"no"	"positive"
"L_Arginine"	"mod.lm.rich"	"3"	"2.18223746655239"	0.0869254623841387	"L_Arginine"	0.00179812887497437	"0.000804273537630037"	"2.23571806213211"	"0.0308761372145591"	0.191432050730266	"no"	"positive"
"Itaconic_Acid"	"mod.lm.rich"	"3"	"21.8635702077578"	0.0588812966530727	"Itaconic_Acid"	0.0019258004019077	"0.00101109799038571"	"1.90466247606036"	"0.0638558385610553"	0.257003217577504	"no"	"positive"
"I_Erytritol"	"mod.lm.null"	"2"	"3.2012760807477"	0	"I_Erytritol"	-0.000121480188670657	"0.000832792997053884"	"-0.145870809553406"	"0.884738205652213"	0.884738205652213	"no"	"negative"
"Glycyl_L_glutamic_Acid"	"mod.lm.null"	"2"	"-1.64412265198415"	0	"Glycyl_L_glutamic_Acid"	0.000471059085143283	"0.000783929123026566"	"0.600894993318573"	"0.551217650615904"	0.626411102920344	"no"	"positive"
"Glycogen"	"mod.lm.null"	"2"	"6.75639448939163"	0	"Glycogen"	0.00101200023238468	"0.000853658795054722"	"1.18548562756834"	"0.242651037709078"	0.434202235310373	"no"	"positive"
"Glucose_1_phosphate"	"mod.lm.null"	"2"	"-2.70492902912212"	0	"Glucose_1_phosphate"	0.000906175783481733	"0.000764736327007396"	"1.18495192588513"	"0.242859654130004"	0.434202235310373	"no"	"positive"
"Gamma_hydroxybutyric_Acid"	"mod.lm.null"	"2"	"11.8012869262498"	0	"Gamma_hydroxybutyric_Acid"	0.000711880291905144	"0.000913879795869125"	"0.778964908867611"	"0.440473418157177"	0.563697211437859	"no"	"positive"
"four_hydroxy_benzoic_Acid"	"mod.lm.null"	"2"	"12.8809021869898"	0	"four_hydroxy_benzoic_Acid"	0.000929649393631268	"0.00092087249889839"	"1.0095310640109"	"0.318641018749684"	0.456711465919204	"no"	"positive"
"D_xylose"	"mod.lm.null"	"2"	"7.96889561924662"	0	"D_xylose"	0.000868276573107739	"0.000869988506617924"	"0.998032234337394"	"0.324117814523306"	0.456711465919204	"no"	"positive"
"D_Mannitol"	"mod.lm.null"	"2"	"-4.6244140857647"	0	"D_Mannitol"	0.000766205698993304	"0.000751082390871659"	"1.02013535173431"	"0.313646285590601"	0.456711465919204	"no"	"positive"
"D_malic_Acid"	"mod.lm.rich"	"3"	"16.5369608728724"	0.105601108389678	"D_malic_Acid"	0.00231994529857416	"0.00095037326760748"	"2.4410885466239"	"0.0190483133135702"	0.147624428180169	"no"	"positive"
"D_L_alpha_glycerol_phospate"	"mod.lm.null"	"2"	"-17.6738147326968"	0	"D_L_alpha_glycerol_phospate"	-0.000232342994431871	"0.000652471135655052"	"-0.356096970019384"	"0.723593833946483"	0.747713628411366	"no"	"negative"
"D_glucosaminic_acid"	"mod.lm.null"	"2"	"-5.3223063427473"	0	"D_glucosaminic_acid"	0.000314059540810016	"0.000752811715972546"	"0.417182057806163"	"0.678721685907412"	0.725530078038958	"no"	"positive"
"D_galactouronic_acid"	"mod.lm.null"	"2"	"0.534185008831269"	0	"D_galactouronic_acid"	0.00103831557518153	"0.000791123852338166"	"1.31245641515269"	"0.196666227973513"	0.434202235310373	"no"	"positive"
"D_galactonic_acid_gama_lactone"	"mod.lm.rich"	"3"	"-0.422937700740704"	0.0402728871397041	"D_galactonic_acid_gama_lactone"	0.00129686336905311	"0.000780275215431101"	"1.6620589035839"	"0.104129197894333"	0.322800513472432	"no"	"positive"
"D_cellobiose"	"mod.lm.null"	"2"	"-1.10704924537562"	0	"D_cellobiose"	0.00090834362733208	"0.000779502888777659"	"1.1652857743176"	"0.250638245573633"	0.434202235310373	"no"	"positive"
"Beta_methyl_D_glucoside"	"mod.lm.null"	"2"	"10.6655540751699"	0	"Beta_methyl_D_glucoside"	0.000859966839670099	"0.000898558039642724"	"0.957052078697143"	"0.344150568048075"	0.463855113456101	"no"	"positive"
"alpha_keto_butyric_acid"	"mod.lm.null"	"2"	"3.29838147891224"	0	"alpha_keto_butyric_acid"	0.000480853376511906	"0.000830562094056845"	"0.57894934039573"	"0.565790673605472"	0.626411102920344	"no"	"positive"
"alpha_cyclodextrin"	"mod.lm.rich"	"3"	"17.4968427898654"	0.0750214908559523	"alpha_cyclodextrin"	0.00201737431549593	"0.000961040198860096"	"2.099157056998"	"0.0420030032916772"	0.217015517006999	"no"	"positive"
"alfa_D_Lactose"	"mod.lm.null"	"2"	"4.7285392849511"	0	"alfa_D_Lactose"	0.00105440256522701	"0.000831791273968603"	"1.2676287888863"	"0.212082760394838"	0.434202235310373	"no"	"positive"
